Type of Fault,Test Pattern,Fault-Free Response
1,00000000000000001010000011000111000000001,00000000000000001010000011000110
1,00000000000000000000101011000111000000000,00000000000000000000101011000110
1,00000000000000001100101000000111000000000,00000000000000001100101000000110
1,00000000000000000100001010001111000000000,00000000000000000100001010001110
1,00000000000000000100001001000011000000000,00000000000000000100001001000010
1,00000000000000001100101011001011000000000,00000000000000001100101011001010
1,00000000000000001110100001000011000000000,00000000000000001110100001000010
1,00000000000000001110100010001111000000001,00000000000000001110100010001110
1,00000000000000000110000011001011000000000,00000000000000000110000011001010
1,00000000000000000110000000000111000000001,00000000000000000110000000000110
1,00000000001100000010100000001011000000001,00000000001100000010100000001010
1,00000000001100000010100011000111000000000,00000000001100000010100011000110
1,00000000001100001110100011001011000000001,00000000001100001110100011001010
1,00000000001100001110100000000111000000000,00000000001100001110100000000110
1,00000000001100001000001000001011000000000,00000000001100001000001000001010
1,00000000001100001000001011000111000000001,00000000001100001000001011000110
1,00000000001100000100001011001011000000001,00000000001100000100001011001010
1,00000000001100000100001000000111000000001,00000000001100000100001000000110
1,00000000000000000000000000000001000000000,00000000000000000000000000000000
1,00000000000000000100010001000101000000001,00000000000000000100010001000100
1,10001000100010000100010001000101000000001,10001000100010000100010001000100
1,10001000100010000000000000000001000000001,10001000100010000000000000000000
1,10000000100000000100010010000101000000001,10000000100000000100010010000100
1,00001000000010000100010010000101000000001,00001000000010000100010010000100
1,10000000100000000000000011000001000000000,10000000100000000000000011000000
1,00001000000010000000000011000001000000000,00001000000010000000000011000000
1,00000000000000000100010010001001000000000,00000000000000000100010010001000
1,00001000000010000100010001001001000000000,00001000000010000100010001001000
1,10001000100010000100010010001001000000000,10001000100010000100010010001000
1,10000000100000000100010001001001000000001,10000000100000000100010001001000
1,00000000000000000000000011001101000000000,00000000000000000000000011001100
1,10001000100010000000000011001101000000000,10001000100010000000000011001100
1,10000000100000000000000000001101000000001,10000000100000000000000000001100
1,00001000000010000000000000001101000000000,00001000000010000000000000001100
1,00000000000000001000010001001001000000000,00000000000000001000010001001000
1,00000000000000001000010010000101000000001,00000000000000001000010010000100
1,10000000100000001000010010001001000000000,10000000100000001000010010001000
1,10000000100000001000010001000101000000001,10000000100000001000010001000100
1,10001000100010001000010001001001000000000,10001000100010001000010001001000
1,10001000100010001000010010000101000000000,10001000100010001000010010000100
1,00001000000010001000010010001001000000000,00001000000010001000010010001000
1,00001000000010001000010001000101000000001,00001000000010001000010001000100
1,10000000100000001100000011001101000000001,10000000100000001100000011001100
0,00000000000000000001000000010011000000000,00000100000000000001101000010011
0,00001100000000000001000000010011000000001,00001100000000000001000000010011
0,00001001000000000001000000010011000000000,00001001000000000001000000010011
0,00001000000000000001000000010011000000000,01001000000000000001000000010011
0,00001101000000000001000000010011000000001,00011101000000000001000000010011
0,00001110000000000001000000010011000000001,10011010000000001000000010010011
0,00000000000000000001001000010011000000000,00000000000000000001001000010010
0,00000100000000000001001000010011000000000,00000100000000000001001000010011
0,00000001000000000001001000010011000000001,00000001000000000001001000010011
0,00001101000000000001001000010011000000001,00000001000000000001001000010011
0,00000010000000000001001000010011000000000,00000110000000001000001010000011
0,00000000000000000001010000010011000000001,00000000000010010001010000010011
0,00000011000000000001011000010011000000001,00000011000000000001011000010011
0,00001010000000000001010000010011000000001,00001010000000000001011000010011
0,00001001000000000001010000010011000000000,00001001000010000001010000010011
0,00001100000000000001010000010011000000001,00001100000000010001011000010011
0,00001111000000000001010000010011000000000,00001111000010100001010000010011
0,00000110000000000001010000010011000000000,00000110000010110001010000010011
0,00000101000000000001011000010011000000000,00000101000000000001010000010011
0,00001000000000000001011000010011000000000,00001000000000000001010000010011
0,00001011000000000001011000010011000000001,00001011000000000001010000010011
0,00000010000000000001011000010011000000001,00000010000000000001010000010011
0,00000001000000000001011000010011000000000,00000001000000000001010000010011
0,00000100000000000001011000010011000000000,00000100000000000001010000010011
0,00000111000000000001010000010011000000001,00000111000000000001011000010011
0,00100000100100000100001011110001011011100,11110000011100001000111010010001
0,10010000110001000000000000110011100001101,10010011110111101010011000110011
0,10000000010001000110100000110111001011100,00101000010010001100100000000111
0,10110000011001001000100000110111000010101,10010000010001001000100000110111
0,00110000010001001000100000110111001001001,00110000010001001000100000110111
0,00010000010001001000100000110111001000101,00010000010001001000100000110111
0,00010000010001001000100000110111001010101,00010000010001001000100000110111
0,00010000010001001000100000110111001011101,00010000010001001000100000110111
0,00010000011001001000100000110111001011101,00010000011001001000100000110111
0,00110000011001001000100000110111001010101,00110000011001001000100000110111
0,00110000011001001000100000110111001001001,00110000011001001000100000110111
0,00110000011001001000100000110111001000101,00110000011001001000100000110111
0,00010000010001001000100000110111001011100,00010000011001001000100000110111
0,00110000011001001000100000110111001011000,00110000011001001000100000110111
0,00110000010001001000100000110111001001100,00110000010001001000100000110111
0,00010000010001001000100000110111000001001,00010000010001001000100000110111
0,00010000011001001000100000110111000000100,00010000011001001000100000110111
0,00010000011001001000100000110111000011100,00010000011001001000100000110111
0,00010000011001001000100000110111000011101,00010000011001001000100000110111
0,00010000011001001000100000110111000010001,00010000011001001000100000110111
0,00110000011001001000100000110111000010101,00110000011001001000100000110111
0,00110000010001001000100000110111000011101,00110000010001001000100000110111
0,00110000010001001000100000110111000010100,00110000010001001000100000110111
0,00110000010001001000100000110111000000101,00110000010001001000100000110111
0,00110000010001001000100000110111000001100,00110000010001001000100000110111
1,00001011000010111011100000000000000011000,00001001100000111010100100000000
1,00000000100010100011100000000010100000000,10000010000010100111100011010010
1,00001001100010001011100000000010001010000,00001011100010001011100000000010
1,00000011100010001011100000000010001011001,00000011100010001011100000000010
1,00000001100010001011100000000010001000001,00000001100010001011100000000010
1,00000001100010001011100000000010001011001,00000001100010001011100000000010
1,00000001100010001011100000000010001010001,00000001100010001011100000000010
1,00000001100010101011100000000010001000001,00000001100010101011100000000010
1,00000011100010101011100000000010001011001,00000011100010101011100000000010
1,00000011100010101011100000000010001000011,00000011100010101011100000000010
1,00000011100010101011100000000010001001001,00000011100010101011100000000010
1,00000001100010001011100000000010001000000,00000001100010001011100000000010
1,00000011100010101011100000000010001011000,00000011100010101011100000000010
1,00000001100010001011100000000010000010011,00000001100010001011100000000010
1,00000001100010101011100000000010000001001,00000001100010101011100000000010
1,00000001100010101011100000000010000010000,00000001100010101011100000000010
1,00000001100010101011100000000010000010011,00000001100010101011100000000010
1,00000001100010101011100000000010000011011,00000001100010101011100000000010
1,00000011100010101011100000000010000010011,00000011100010101011100000000010
1,00000011100010001011100000000010000010001,00000011100010001011100000000010
1,00000011100010001011100000000010000001001,00000011100010001011100000000010
1,00000011100010001011100000000010000000011,00000011100010001011100000000010
1,00000011100000001011100000000010001000000,00000011100000101011100000000010
1,00001011100000001011100000000010001000011,00001011100000001011100000000010
1,00001001100000001011100000000010001011001,00001001100000001011100000000010
1,00000000000000000000000001100010000000000,00000000000000000000000001100110
1,00000000000000000010000100100000000000000,00000000000000000010000100100001
1,00000000000000000010001001000000000000001,00000000000000000010001001000100
1,00000000000000000000001100000010000000000,00000000000000000000001100000011
1,00000000000000000010000101000110000000001,00000000000000000010000101000111
1,00000000000000000010001000100110000000000,00000000000000000010001000100010
1,00000000000000000000001101100100000000001,00000000000000000000001101100101
1,00000000000000000000000000000100000000000,00000000000000000000000000000000
1,00000000000000000100000101000000000000000,00000000000000000100000101000001
1,00000000000000000100001001000110000000001,00000000000000000100001001000010
1,00000000000000000100000100100110000000001,00000000000000000100000100100111
1,00000000000000000100001000100000000000001,00000000000000000100001000100100
1,00000000000000000110001101100010000000001,00000000000000000110001101100011
1,00000000000000000110001100000100000000001,00000000000000000110001100000101
1,00000000000000000110000001100100000000001,00000000000000000110000001100000
1,00000000000000000110000000000010000000000,00000000000000000110000000000110
1,00000000010001000100001001000000000000001,00000000010001000100001001000001
1,00000000010001000100000101000110000000000,00000000010001000100000101000010
1,00000000010001000100001000100110000000000,00000000010001000100001000100111
1,00000000010001000100000100100000000000001,00000000010001000100000100100100
1,00000000010001000010001001000110000000001,00000000010001000010001001000111
1,00000000010001000010000101000000000000000,00000000010001000010000101000100
1,00000000010001000010001000100000000000001,00000000010001000010001000100001
1,00000000010001000010000100100110000000000,00000000010001000010000100100010
1,00000000010001000110000000000100000000001,00000000010001000110000000000101
1,00000001000010001101010111010101111000010,00001100000010000101000011000001
1,00000000000000100000000000000011001101010,10011000000100101011111100000011
1,00001010000000000001100000000111000010011,10001010100010100101100000110111
1,00001011000000101000100000000111000010001,00001001000000101000100000000111
1,00000011000000001000100000000111001010011,00000011000000001000100000000111
1,00000001000000001000100000000111001000001,00000001000000001000100000000111
1,00000001000000001000100000000111001010011,00000001000000001000100000000111
1,00000001000000001000100000000111001011011,00000001000000001000100000000111
1,00000001000000101000100000000111001001011,00000001000000101000100000000111
1,00000011000000101000100000000111001011001,00000011000000101000100000000111
1,00000011000000101000100000000111001001001,00000011000000101000100000000111
1,00000011000000101000100000000111001000011,00000011000000101000100000000111
1,00000001000000101000100000000111001001000,00000001000000001000100000000111
1,00000011000000101000100000000111001010010,00000011000000101000100000000111
1,00000011000000001000100000000111001011000,00000011000000001000100000000111
1,00000001000000001000100000000111000000000,00000001000000001000100000000111
1,00000001000000101000100000000111000001010,00000001000000101000100000000111
1,00000001000000101000100000000111000010000,00000001000000101000100000000111
1,00000001000000101000100000000111000011001,00000001000000101000100000000111
1,00000001000000101000100000000111000010001,00000001000000101000100000000111
1,00000011000000101000100000000111000001000,00000011000000101000100000000111
1,00000011000000001000100000000111000011011,00000011000000001000100000000111
1,00000011000000001000100000000111000010000,00000011000000001000100000000111
1,00000011000000001000100000000111000000010,00000011000000001000100000000111
1,00000011000000001000100000000111000001000,00000011000000001000100000000111
1,00001000000000111000000101011101100010011,00000111000000111100000111011101
1,00001011010001101000000100000000001001011,10101011011111000000011000000000
1,00001000010001100000100000000100101000010,11001010110011000001100010000100
1,00001001010001101000100000000100001011000,00001011010001101000100000000100
1,00000011010001001000100000000100001000001,00000011010001001000100000000100
1,00000001010001001000100000000100001001001,00000001010001001000100000000100
1,00000001010001001000100000000100001010011,00000001010001001000100000000100
1,00000001010001001000100000000100001011011,00000001010001001000100000000100
1,00000001010001001000100000000100001011001,00000001010001001000100000000110
1,00000001010001101000100000000100001010011,00000001010001101000100000000100
1,00000011010001101000100000000100001011001,00000011010001101000100000000100
1,00000011010001101000100000000100001001001,00000011010001101000100000000100
1,00000011010001101000100000000100001000011,00000011010001101000100000000100
1,00000011010001101000100000000100001000001,00000011010001101000100000000110
1,00000001010001001000100000000100001000010,00000001010001001000100000000100
1,00000011010001101000100000000100001001000,00000011010001101000100000000100
1,00000011010001001000100000000100001011010,00000011010001001000100000000100
1,00000001010001001000100000000100000001000,00000001010001001000100000000100
1,00000001010001101000100000000100000001001,00000001010001101000100000000100
1,00000001010001101000100000000100000010000,00000001010001101000100000000100
1,00000001010001101000100000000100000011001,00000001010001101000100000000100
1,00000001010001101000100000000100000010001,00000001010001101000100000000100
1,00000001010001101000100000000100000010011,00000001010001101000100000000110
1,00000011010001101000100000000100000010001,00000011010001101000100000000100
1,00000011010001001000100000000100000010001,00000011010001001000100000000100
1,00001111000010010101000111000001011010010,00001111000011001100010111011101
1,00000000000000001000000110000011000000001,00000000000000001000000110000001
1,00000000000000000001100010000011000000001,00000000000000000001100010000001
1,00000000000000001001000000001011000000000,00000000000000001001000000001001
1,00000000000000000000100100001011000000000,00000000000000000000100100001001
1,00000000000000000001100001001111000000001,00000000000000000001100001001101
1,00000000000000001000000101001111000000001,00000000000000001000000101001101
1,00000000000000001001000011000111000000001,00000000000000001001000011000101
1,00000000000000000000100111000111000000001,00000000000000000000100111000101
1,00000000000000001100100100000111000000000,00000000000000001100100100000101
1,00000000000000000100000110001111000000000,00000000000000000100000110001101
1,00000000000000000100000101000011000000000,00000000000000000100000101000001
1,00000000000000001100100111001011000000000,00000000000000001100100111001001
1,00000000000000001101100001000011000000001,00000000000000001101100001000001
1,00000000000000001101100010001111000000000,00000000000000001101100010001101
1,00000000000000000101000011001011000000000,00000000000000000101000011001001
1,00000000000000000101000000000111000000000,00000000000000000101000000000101
1,00000000000000110001100000001011000000001,00000000000000110001100000001001
1,00000000000000110001100011000111000000001,00000000000000110001100011000101
1,00000000000000111101100011001011000000000,00000000000000111101100011001001
1,00000000000000111101100000000111000000001,00000000000000111101100000000101
1,00000000000000111000000100001011000000001,00000000000000111000000100001001
1,00000000000000111000000111000111000000001,00000000000000111000000111000101
1,00000000000000110100000111001011000000001,00000000000000110100000111001001
1,00000000000000110100000100000111000000000,00000000000000110100000100000101
1,00000000000000000000000000000010000000001,00000000000000000000000000000000
1,00000000000000000100010001000110000000001,00000000000000000100010001000100
1,10001000100010000100010001000110000000000,10001000100010000100010001000100
1,10001000100010000000000000000010000000001,10001000100010000000000000000000
1,10000000100000000100010010000110000000001,10000000100000000100010010000100
1,10000000100000000000000011000010000000000,10000000100000000000000011000000
1,00001000000010000100010010000110000000000,00001000000010000100010010000100
1,00001000000010000000000011000010000000000,00001000000010000000000011000000
1,00000000000000000100010010001010000000001,00000000000000000100010010001000
1,00001000000010000100010001001010000000000,00001000000010000100010001001000
1,10001000100010000100010010001010000000000,10001000100010000100010010001000
1,10000000100000000100010001001010000000000,10000000100000000100010001001000
1,00000000000000000000000011001110000000000,00000000000000000000000011001100
1,10001000100010000000000011001110000000001,10001000100010000000000011001100
1,10000000100000000000000000001110000000001,10000000100000000000000000001100
1,00001000000010000000000000001110000000001,00001000000010000000000000001100
1,00000000000000001000010001001010000000000,00000000000000001000010001001000
1,00000000000000001000010010000110000000001,00000000000000001000010010000100
1,10000000100000001000010010001010000000001,10000000100000001000010010001000
1,10000000100000001000010001000110000000001,10000000100000001000010001000100
1,10001000100010001000010001001010000000001,10001000100010001000010001001000
1,10001000100010001000010010000110000000001,10001000100010001000010010000100
1,00001000000010001000010010001010000000001,00001000000010001000010010001000
1,00001000000010001000010001000110000000001,00001000000010001000010001000100
1,10000000100000001100000011001110000000001,10000000100000001100000011001100
0,01010000000000000000000000000011000000001,01010000000000000000000000000011
0,01010000000000000000000000000011000000100,01010000000000000000000000000011
0,01010100000000000000000000000011000000001,01000100000000000000000000000011
0,01010100000000000000000000000011000000100,01000100000000000000000000000011
0,01010001000000000000000000000011000000000,01010001000000000000000000000011
0,01010001000000000000000000000011000000100,00010101000000000000000000000011
0,01011101000000000000000000000011000000001,01011101000000000000000100000011
0,01011001000000000000000000000011000000100,00001100000000000000001100000011
0,01010010000000000000000000000011000000000,11010010000000000000000010100011
0,01010110000000000000000000000011000000100,10100111000000001011000010010011
0,01010000000000000000000100000011000000000,01010100000000000010000100000011
0,01010110000000000000000100000011000000100,11110100000000000001000100000011
0,01010001000000000000000100000011000000001,01010101000000000000101100000011
0,01010011000000000000000100000011000000100,01010111000000000000101100000011
0,01011100000000000000000100000011000000000,01011110000000000000000100000011
0,01011100000000000000000100000011000000100,01111100000000000000000100000011
0,01011101000000000000000100000011000000000,01111101000000000000000100000011
0,01011111000000000000000100000011000000100,01111111000000000000000100000011
0,01011010000000000000000100000011000000000,01011010000000000000000100100011
0,01011010000000000000000100000011000000100,01011010000000000000000100100011
0,01011000000000000000000100000011000000001,01011000000000000000000100000011
0,01011000000000000000000100000011000000100,01011000000000000000000100000011
0,01011001000000000000000100000011000000000,01011001000000000000000100000001
0,01011011000000000000000100000011000000001,01011011000000000000000100000011
0,01011001000000000000000100000011000000100,01011001000000000000000100000001
0,00001000000000000001010010111010110101001,00000111000001011101110000111111
0,00001011010011110101110100110011000001001,00000001011101110001001100110011
0,00001010010001101001100000110111100001010,10101000101001101100100001010111
0,00001011010001101000100000110111001010000,00001001010001001000100000110111
0,00000011010001001000100000110111001001001,00000011010001001000100000110111
0,00000001010001001000100000110111001001011,00000001010001001000100000110111
0,00000001010001001000100000110111001010001,00000001010001001000100000110111
0,00000001010001001000100000110111001011011,00000001010001001000100000110111
0,00000001010001101000100000110111001010001,00000001010001101000100000110111
0,00000011010001101000100000110111001010001,00000011010001101000100000110111
0,00000011010001101000100000110111001001001,00000011010001101000100000110111
0,00000011010001101000100000110111001000011,00000011010001101000100000110111
0,00000001010001101000100000110111001000010,00000001010001001000100000110111
0,00000011010001101000100000110111001001010,00000011010001101000100000110111
0,00000011010001001000100000110111001011000,00000011010001001000100000110111
0,00000001010001001000100000110111000000000,00000001010001001000100000110111
0,00000001010001101000100000110111000000010,00000001010001101000100000110111
0,00000001010001101000100000110111000011000,00000001010001101000100000110111
0,00000001010001101000100000110111000011001,00000001010001101000100000110111
0,00000001010001101000100000110111000010001,00000001010001101000100000110111
0,00000011010001101000100000110111000011000,00000011010001101000100000110111
0,00000011010001001000100000110111000011001,00000011010001001000100000110111
0,00000011010001001000100000110111000010010,00000011010001001000100000110111
0,00000011010001001000100000110111000000001,00000011010001001000100000110111
0,00000011010001001000100000110111000001000,00000011010001001000100000110111
1,10110011000000000101001000000000101100100,00001001100010011011011000000000
1,10001010000010000100100000000100001000100,00000010000011100110100011100100
1,00100011000010000100100000000100001010001,00000001000010000100100000000100
1,00101001000010000100100000000100001000011,00101001000010000100100000000100
1,00101011000010000100100000000100001000111,00101011000010000100100000000100
1,00101011000010000100100000000100001010001,00101011000010000100100000000100
1,00101011000010000100100000000100001010111,00101011000010000100100000000100
1,00001011000010000100100000000100001010101,00001011000010000100100000000100
1,00001001000010000100100000000100001000011,00001001000010000100100000000100
1,00001001000010000100100000000100001010111,00001001000010000100100000000100
1,00001001000010000100100000000100001010001,00001001000010000100100000000100
1,00101001000010000100100000000100001000010,00101001000010000100100000000100
1,00101011000010000100100000000100001010000,00101011000010000100100000000100
1,00001001000010000100100000000100000000110,00001001000010000100100000000100
1,00101001000010000100100000000100000010011,00101001000010000100100000000100
1,00101001000010000100100000000100000010000,00101001000010000100100000000100
1,00101001000010000100100000000100000000010,00101001000010000100100000000100
1,00101001000010000100100000000100000000110,00101001000010000100100000000100
1,00101001000010000100100000000100000000101,00101001000010000100100000000100
1,00101011000010000100100000000100000010011,00101011000010000100100000000100
1,00001011000010000100100000000100000010111,00001011000010000100100000000100
1,00001011000010000100100000000100000000111,00001011000010000100100000000100
1,00001011000010000100100000000100000000011,00001011000010000100100000000100
1,10101011000010000100100000000100000010110,10001001000010000100100000000100
1,10100001000010000100100000000100001000001,10100001000010000100100000000100
1,00000000000000000000000001100100000000001,00000000000000000000000001100110
1,00000000000000001100000000000100000000000,00000000000000001100000000001100
1,00000000000000001000010001000000000000000,00000000000000001000010001001000
1,00000000000000000100010000100000000000001,00000000000000000100010000100010
1,00000000000000000100010001000110000000001,00000000000000000100010001000100
1,00000000000000001000010000100110000000001,00000000000000001000010000101110
1,00000000000000000000000000000010000000001,00000000000000000000000000000000
1,00000000000000001100000001100010000000001,00000000000000001100000001101010
1,00000000000000000010010001000000000000001,00000000000000000010010001000010
1,00000000000000001110010001000110000000001,00000000000000001110010001001110
1,00000000000000000010010000100110000000000,00000000000000000010010000100100
1,00000000000000001110010000100000000000000,00000000000000001110010000101000
1,00000000000000001010000000000010000000000,00000000000000001010000000001010
1,00000000000000001010000001100100000000000,00000000000000001010000001101100
1,00000000000000000110000001100010000000000,00000000000000000110000001100000
1,00000000000000000110000000000100000000001,00000000000000000110000000000110
1,00000000010001000010010000100110000000001,00000000010001000010010000100111
1,00000000010001000010010001000000000000000,00000000010001000010010001000001
1,00000000010001000100010000100000000000001,00000000010001000100010000100001
1,00000000010001000100010001000110000000000,00000000010001000100010001000111
1,00000000010001000110000001100010000000000,00000000010001000110000001100011
1,00000000010001000110000000000100000000001,00000000010001000110000000000101
1,00000000010001000000000001100100000000000,00000000010001000000000001100101
1,00000000010001000000000000000010000000001,00000000010001000000000000000011
1,00000100010000001000010000100000000000001,00000100010000001000010000100001
1,00010001000000001001100000111000110100001,00001011000000000000100110100000
1,00001001000000000001101000001100101000111,00010011000100001010101000001100
1,10000000000000001000100000000100000010001,00101000101000100010100011010100
1,10000001000000001000100000000100000010101,10000011000000001000100000000100
1,10101001000000001000100000000100001000001,10101001000000001000100000000100
1,10101011000000001000100000000100001000001,10101011000000001000100000000100
1,10101011000000001000100000000100001010111,10101011000000001000100000000100
1,10101011000000001000100000000100001010001,10101011000000001000100000000100
1,10001011000000001000100000000100001010011,10001011000000001000100000000100
1,10001001000000001000100000000100001000011,10001001000000001000100000000100
1,10001001000000001000100000000100001010011,10001001000000001000100000000100
1,10001001000000001000100000000100001010111,10001001000000001000100000000100
1,10001001000000001000100000000100001010110,10001001000000001000100000000100
1,10001011000000001000100000000100001010100,10101011000000001000100000000100
1,10001001000000001000100000000100000000111,10001001000000001000100000000100
1,10101001000000001000100000000100000010101,10101001000000001000100000000100
1,10101001000000001000100000000100000000111,10101001000000001000100000000100
1,10101001000000001000100000000100000000011,10101001000000001000100000000100
1,10101011000000001000100000000100000000010,10101011000000001000100000000100
1,10001011000000001000100000000100000010101,10001011000000001000100000000100
1,10001011000000001000100000000100000010110,10001011000000001000100000000100
1,10001011000000001000100000000100000000000,10001011000000001000100000000100
1,10001011000000001000100000000100000000100,10001011000000001000100000000100
1,10001011000000001000100000000100000000101,10001011000000001000100000000100
1,00001001000000001000100000000100000000010,00001011000000001000100000000100
1,01001110000000000000100000010010001010101,10000111000000001010000000000011
1,01110010000001001000101100000000101110110,01101011001011011110100000000000
1,01101010000001001010100000001000001000101,11100010000001001001100010111000
1,11000001000001001000100000001000000010001,11100011000001001000100000001000
1,11101001000001001000100000001000001010001,11101001000001001000100000001000
1,11101011000001001000100000001000001000001,11101011000001001000100000001000
